#{"t_start": 1715960240.003586, "env_id": "manipulator_mujoco/UR5eEnv-v0"}
r,l,t
-84.040882,83,5.928334
-9.384377,8,6.607795
-25.695543,57,12.506518
-22.269638,43,15.973017
-21.622254,44,19.560218
-20.374164,43,23.062938
-20.563658,43,26.476355
-21.77432,44,29.906826
-22.969088,46,33.558944
-21.009359,44,37.144046
-28.75919,68,42.348057
-22.33071,57,46.872791
-28.695444,63,51.900952
-24.480877,45,55.513563
-25.013886,44,59.00992
-27.212397,59,63.667661
-65.921505,155,75.924475
-29.694224,48,79.76108
-31.435565,61,84.610201
-40.26749,72,90.32529
-43.281862,87,97.141831
-40.896349,77,103.164663
-35.878245,73,108.823548
-26.699889,66,114.125094
-27.048244,64,119.334641
-23.748445,50,123.502131
-30.885088,71,129.405383
-23.771151,50,133.555755
-27.74629,53,138.005046
-26.054962,51,142.164256
-26.275808,48,145.922481
-25.492372,46,149.588032
-21.239485,41,152.797076
-48.910724,107,160.790301
-45.538216,92,168.021997
-43.915635,117,177.037215
-16.865765,39,180.222279
-19.095144,46,183.81323
-15.738056,40,187.151818
-16.15033,41,190.444088
-1.17174,1,190.637791
-1.171762,1,190.831578
-1.171761,1,191.036701
-1.171851,1,191.231891
-1.171717,1,191.441702
-1.171811,1,191.633415
-1.171723,1,191.834565
-16.028689,38,194.929931
-1.171715,1,195.120654
-13.857513,38,198.168188
-1.171885,1,198.363374
-1.171819,1,198.558593
-1.171861,1,198.753783
-1.171716,1,198.946985
-1.171785,1,199.163035
-1.171712,1,199.357728
-1.171831,1,199.554905
-1.171776,1,199.749101
-1.171526,1,199.950748
-1.171793,1,200.149911
-1.171761,1,200.348081
-1.171805,1,200.54476
-18.820172,49,204.444546
-1.171788,1,204.637067
-1.171723,1,204.83275
-1.171827,1,205.02794
-1.171717,1,205.226606
-1.171829,1,205.41981
-1.171723,1,205.617979
-1.171813,1,205.815653
-1.171733,1,206.036912
-1.171849,1,206.228625
-1.171825,1,206.427292
-1.171724,1,206.621488
-1.171774,1,206.820651
-1.171759,1,207.013855
-1.17174,1,207.215004
-1.171723,1,207.411684
-1.171725,1,207.613627
-1.171809,1,207.813935
-1.171682,1,208.020544
-1.171864,1,208.214244
-1.171806,1,208.424885
-1.171862,1,208.617361
-1.17162,1,208.816524
-19.152113,51,212.896669
-19.317751,51,216.934043
-1.171602,1,217.128942
-1.171877,1,217.329598
-1.17182,1,217.522504
-1.171886,1,217.714717
-1.171707,1,217.914674
-1.171771,1,218.11483
-19.578336,58,222.699821
-1.171796,1,222.902949
-1.171711,1,223.11307
-1.171724,1,223.310743
-1.171708,1,223.519343
-15.781551,41,226.827636
-1.171707,1,227.021833
-17.155055,44,230.536853
-1.171684,1,230.728072
-1.171707,1,230.924749
-1.171827,1,231.120435
-1.17178,1,231.318108
-1.171972,1,231.513795
-1.171784,1,231.713454
-1.17195,1,231.906658
-1.171824,1,232.123701
-1.171921,1,232.334287
-1.171897,1,232.535438
-1.171709,1,232.732614
-1.171865,1,232.929793
-1.171982,1,233.154382
-1.171814,1,233.354539
-1.172021,1,233.553702
-1.171896,1,233.751872
-1.172034,1,233.951531
-1.17209,1,234.153675
-1.171842,1,234.345387
-1.172157,1,234.548524
-1.171986,1,234.745204
-1.172106,1,234.942877
-1.172018,1,235.138563
-1.17184,1,235.335243
-1.171982,1,235.528943
-1.172109,1,235.727654
-1.172025,1,235.916388
-1.172017,1,236.112074
-1.172012,1,236.304284
-11.95466,41,239.580871
-1.172017,1,239.774622
-1.171976,1,239.973288
-1.171969,1,240.167485
-1.171775,1,240.369131
-1.171786,1,240.563828
-1.171946,1,240.760559
-1.17198,1,240.960219
-1.171776,1,241.163852
-1.171847,1,241.354572
-1.172129,1,241.549268
-1.171979,1,241.742468
-1.172001,1,241.936168
-1.171815,1,242.130861
-12.92352,33,244.811146
-1.171781,1,245.005342
-1.171759,1,245.199042
-1.171782,1,245.399695
-1.171778,1,245.599852
-1.171827,1,245.801501
-1.172028,1,246.016057
-1.171933,1,246.215221
-1.171841,1,246.41637
-1.171714,1,246.618017
-1.171939,1,246.820657
-1.17187,1,247.017834
-1.171964,1,247.22842
-1.171751,1,247.428111
-1.171731,1,247.634227
-1.171796,1,247.828435
-12.741191,38,250.910217
-1.171898,1,251.103555
-1.171692,1,251.299735
-1.171783,1,251.501705
-1.171791,1,251.703351
-1.171782,1,251.907011
-1.171759,1,252.103904
-1.171917,1,252.314495
-1.171722,1,252.528844
-1.171924,1,252.733394
-1.171892,1,252.93504
-1.171951,1,253.136985
-1.171991,1,253.344588
-13.274532,36,256.387302
-14.839129,43,260.018351
-1.171973,1,260.218507
-14.58056,42,263.604272
-1.171923,1,263.798467
-15.830189,45,267.46831
-1.171775,1,267.661513
-1.171939,1,267.855602
-1.172032,1,268.050718
-1.171892,1,268.248396
-1.17187,1,268.450949
-1.171932,1,268.645306
-1.171892,1,268.848442
-1.171756,1,269.046612
-1.171685,1,269.253722
-1.171721,1,269.453878
-1.171778,1,269.662414
-1.171888,1,269.861577
-1.171714,1,270.069183
-1.171837,1,270.269946
-15.72566,44,273.810612
-1.171684,1,274.013252
-1.171805,1,274.209435
-1.171739,1,274.419028
-12.661203,38,277.550095
-1.171864,1,277.744785
-1.171705,1,277.941962
-1.17188,1,278.135434
-1.171881,1,278.33708
-1.171712,1,278.529787
-1.171726,1,278.742072
-1.171789,1,278.939249
-1.171715,1,279.13864
-16.499128,48,283.052551
-1.171806,1,283.244263
-1.171671,1,283.439672
-1.171775,1,283.632875
-1.171836,1,283.836093
-1.171608,1,284.033766
-1.171746,1,284.236406
-1.171809,1,284.433085
-1.17177,1,284.636749
-1.171763,1,284.836412
-1.171653,1,285.038552
-1.171659,1,285.233676
-14.66424,44,288.78601
-1.171712,1,288.97924
-1.171765,1,289.173549
-1.171847,1,289.379169
-1.171888,1,289.574358
-1.1718,1,289.772031
-1.171655,1,289.964738
-1.171765,1,290.158438
-1.171782,1,290.348661
-15.132927,43,293.896398
-1.17166,1,294.100288
-1.171743,1,294.303921
-1.171791,1,294.498117
